,euclidean_error,euclidean_time,dtw_error,dtw_time,dtw_best_error,dtw_best_time,jmotif_error,jmotif_time
1,0.479333,172,0.098,7377,0.479333,214,0.143,2488
2,0.264,183,0.00733333,14531,0.264,401,0.051,2560
3,0.157667,192,0.00133333,21779,0.0746667,12588,0.044,2587
4,0.091,206,0.000666667,28896,0.028,17022,0.036,2612
5,0.14,212,0.006,36074,0.024,19064,0.0113333333,2626
10,0.0466667,267,0.000333333,71970,0.022,31525,0.0066666667,2651
15,0.0563333,328,0.00133333,107792,0.0126667,52298,0.004,2825
21,0.0483333,407,0.000666667,150827,0.0306667,70543,0.008,2795
30,0.0393333,529,0,215443,0.0166667,123278,0.003,2947
50,0.0113333,783,0.000333333,359471,0.00333333,266021,0.0023333333,2946
100,0.00666667,1477,0,718722,0.00133333,868627,0.0013333333,3123
150,0.00266667,2010,0.000333333,1076369,0,1878196,6.67E-004,3278
200,0.00233333,2754,0.000333333,1436612,0.00233333,2686471,0.0013333333,3479
300,0.00133333,4039,0.000333333,2155850,0.00133333,6043424,0.0016666667,3692
400,0,5463,0.000333333,2889227,0.00133333,6043424,0.0026666667,3893
500,0.00233333,6544,0.000666667,3595755,0.00133333,6043424,0.003,4161
